alert_id,categories,alert_time,source_agent,source_ip,log_path,rule_id,rule_level,rule_description,user,log_details
1737158970,,2025 Jan 18 08:09:30,ubuntu_agent,192.168.25.208,/var/log/auth.log,5402,3,Successful sudo to ROOT executed,miinning,
1737158970,"pam,syslog,authentication_success",2025 Jan 18 08:09:30,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737158970,"pam,syslog,authentication_success",2025 Jan 18 08:09:30,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737159010,,2025 Jan 18 08:10:10,level 3,,ossec-monitord,504,3,Ossec agent disconnected.,,
1737159040,,2025 Jan 18 08:10:40,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737159040,,2025 Jan 18 08:10:40,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737159108,,2025 Jan 18 08:11:48,ubuntu_agent,192.168.25.208,/var/log/auth.log,5402,3,Successful sudo to ROOT executed,miinning,
1737159108,"pam,syslog,authentication_success",2025 Jan 18 08:11:48,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737159108,,2025 Jan 18 08:11:48,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737159161,,2025 Jan 18 08:12:41,ubuntu_agent,192.168.25.208,/var/log/auth.log,5402,3,Successful sudo to ROOT executed,miinning,
1737159161,"pam,syslog,authentication_success",2025 Jan 18 08:12:41,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737159161,,2025 Jan 18 08:12:41,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737159288,,2025 Jan 18 08:14:48,ubuntu_agent,192.168.25.208,/var/log/auth.log,5402,3,Successful sudo to ROOT executed,miinning,
1737159288,"pam,syslog,authentication_success",2025 Jan 18 08:14:48,ubuntu_agent,192.168.25.208,/var/log/auth.log,5501,3,Login session opened.,,
1737159288,,2025 Jan 18 08:14:48,ubuntu_agent,192.168.25.208,/var/log/auth.log,5502,3,Login session closed.,,
1737159364,"syslog,sshd,invalid_login",2025 Jan 18 08:16:04,ubuntu_agent,192.168.25.208,/var/log/auth.log,5710,5,Attempt to login using a non-existent user,,
1737159376,"pam,syslog,authentication_failed",2025 Jan 18 08:16:16,ubuntu_agent,192.168.25.208,/var/log/auth.log,5503,5,User login failed.,,
1737159378,"syslog,sshd,invalid_login",2025 Jan 18 08:16:18,ubuntu_agent,192.168.25.208,/var/log/auth.log,5710,5,Attempt to login using a non-existent user,,
1737159384,"syslog,sshd,invalid_login",2025 Jan 18 08:16:24,ubuntu_agent,192.168.25.208,/var/log/auth.log,5710,5,Attempt to login using a non-existent user,,
1737159392,"syslog,sshd,invalid_login",2025 Jan 18 08:16:32,ubuntu_agent,192.168.25.208,/var/log/auth.log,5710,5,Attempt to login using a non-existent user,,
